,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
17898,763.0,23.6,33.1,Unique,unknown,gallery,other,signed,5.0,1.0,Ukraine,images_thesis\2275107_1_m.jpg
2337,1458.0,21.3,28.7,Unique,male,gallery,oil,signed,7.0,9.0,Spain,images_thesis\2182948_1_m.jpg
17202,727.0,13.0,13.0,Unique,male,gallery,oil,signed,3.0,10.0,other,images_thesis\1443750_1_m.jpg
19560,2180.0,23.6,23.6,Unique,female,independent,other,signed,1.0,6.0,other,images_thesis\2161348_1_m.jpg
14806,775.0,19.7,19.7,Unique,unknown,gallery,other,signed,10.0,1.0,Ukraine,images_thesis\2262127_1_m.jpg
19825,3016.0,41.3,61.0,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2246986_1_m.jpg
13235,1029.0,39.4,27.6,Unique,unknown,independent,acrylic,not signed,0.0,6.0,France,images_thesis\2303312_1_m.jpg
19463,1211.0,15.7,15.7,Unique,female,gallery,other,signed,1.0,2.0,other,images_thesis\2235826_1_m.jpg
18252,533.0,12.2,12.2,Unique,female,gallery,other,signed,1.0,3.0,Ukraine,images_thesis\2261583_1_m.jpg
206,30366.0,31.9,26.4,Unique,male,gallery,other,signed,28.0,10.0,France,images_thesis\1368006_1_m.jpg
2469,2308.0,23.6,28.7,Unique,male,gallery,oil,signed,0.0,9.0,France,images_thesis\2294740_1_m.jpg
10465,583.0,19.7,47.2,Unique,female,independent,acrylic,signed,1.0,4.0,Spain,images_thesis\2282841_1_m.jpg
1568,607.0,15.7,15.7,Unique,male,independent,other,signed,0.0,5.0,other,images_thesis\2313620_1_m.jpg
6185,1707.0,19.7,28.7,Unique,male,gallery,oil,not signed,74.0,6.0,other,images_thesis\676938_1_m.jpg
4,838.0,15.7,15.7,Unique,unknown,independent,other,signed,4.0,5.0,France,images_thesis\1241121_1_m.jpg
19968,351.0,7.3,10.2,Unique,unknown,gallery,other,signed,4.0,3.0,other,images_thesis\2312375_1_m.jpg
16648,606.0,15.7,15.7,Unique,female,gallery,acrylic,signed,1.0,3.0,Ukraine,images_thesis\2244642_1_m.jpg
15664,79.0,7.9,7.9,Unique,male,independent,other,signed,3.0,7.0,France,images_thesis\1684929_1_m.jpg
1839,2308.0,31.5,31.5,Unique,male,gallery,other,signed,7.0,5.0,other,images_thesis\1011525_1_m.jpg
4115,2429.0,21.7,18.5,Unique,male,gallery,other,signed,1.0,9.0,Spain,images_thesis\2270552_1_m.jpg
11889,729.0,23.6,23.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2314701_1_m.jpg
7503,3522.0,26.0,19.7,Unique,unknown,gallery,other,signed,75.0,6.0,other,images_thesis\2229548_1_m.jpg
5825,1786.0,23.4,17.9,Unique,male,gallery,oil,signed,92.0,6.0,other,images_thesis\2221155_1_m.jpg
13949,848.0,23.6,23.6,Unique,male,independent,oil,signed,1.0,1.0,other,images_thesis\2281396_1_m.jpg
3587,1000.0,31.5,23.6,Unique,female,gallery,other,signed,3.0,1.0,United States,images_thesis\2265435_1_m.jpg
13066,1000.0,9.1,12.6,Unique,male,independent,other,signed,9.0,4.0,Ukraine,images_thesis\2289401_1_m.jpg
63,1883.0,47.2,47.2,Unique,unknown,gallery,acrylic,signed,0.0,10.0,France,images_thesis\2288385_1_m.jpg
4794,6316.0,8.0,8.0,Unique,unknown,gallery,other,signed,2.0,10.0,other,images_thesis\1972785_1_m.jpg
14477,618.0,13.8,17.7,Unique,male,gallery,oil,signed,10.0,1.0,Ukraine,images_thesis\2324204_1_m.jpg
6867,1822.0,27.6,27.6,Unique,unknown,independent,other,signed,1.0,2.0,other,images_thesis\2236109_1_m.jpg
18504,1029.0,21.5,21.5,Unique,unknown,gallery,other,signed,5.0,2.0,Spain,images_thesis\2135636_1_m.jpg
14964,2271.0,27.6,39.4,Unique,male,gallery,other,signed,0.0,7.0,France,images_thesis\2308694_1_m.jpg
200,2976.0,47.2,39.4,Copy,male,gallery,other,signed,4.0,5.0,other,images_thesis\1280256_1_m.jpg
14434,1000.0,24.0,36.0,Unique,male,independent,acrylic,signed,7.0,6.0,United States,images_thesis\593610_1_m.jpg
8871,2004.0,37.4,45.3,Unique,female,independent,acrylic,signed,0.0,4.0,Spain,images_thesis\2285475_1_m.jpg
16436,1453.0,8.5,11.0,Unique,unknown,gallery,other,signed,0.0,4.0,United States,images_thesis\2296133_1_m.jpg
12869,2422.0,39.4,55.1,Unique,male,independent,other,signed,4.0,1.0,other,images_thesis\2304530_1_m.jpg
13534,1453.0,15.7,19.7,Unique,male,gallery,oil,signed,10.0,6.0,other,images_thesis\1050753_1_m.jpg
8754,2126.0,23.6,27.6,Unique,female,independent,oil,signed,7.0,3.0,other,images_thesis\2204763_1_m.jpg
4468,9413.0,37.0,25.2,Unique,female,gallery,acrylic,signed,1.0,4.0,Spain,images_thesis\2301850_1_m.jpg
12108,790.0,23.6,31.5,Unique,unknown,gallery,oil,signed,15.0,1.0,Ukraine,images_thesis\2287337_1_m.jpg
8112,790.0,11.8,11.8,Unique,female,independent,oil,signed,7.0,3.0,other,images_thesis\2088327_1_m.jpg
13346,2531.0,31.5,47.2,Unique,female,independent,acrylic,signed,4.0,3.0,other,images_thesis\1559766_1_m.jpg
5005,2126.0,39.4,39.4,Unique,female,gallery,acrylic,signed,1.0,4.0,Spain,images_thesis\2246400_1_m.jpg
1567,583.0,15.7,15.7,Unique,unknown,independent,other,signed,3.0,3.0,France,images_thesis\1553265_1_m.jpg
11912,729.0,23.6,19.7,Unique,male,independent,other,signed,0.0,1.0,other,images_thesis\2309071_1_m.jpg
5109,2022.0,25.2,30.1,Unique,unknown,gallery,other,signed,59.0,6.0,other,images_thesis\1654917_1_m.jpg
4275,5830.0,14.2,19.3,Unique,male,gallery,other,signed,65.0,3.0,Spain,images_thesis\2230612_1_m.jpg
19828,690.0,11.8,11.8,Unique,female,gallery,oil,signed,2.0,8.0,France,images_thesis\2246782_1_m.jpg
20867,848.0,28.3,28.3,Unique,male,gallery,oil,signed,2.0,9.0,Spain,images_thesis\2191682_1_m.jpg
8236,1202.0,15.7,15.7,Unique,female,independent,oil,signed,1.0,3.0,France,images_thesis\2193127_1_m.jpg
18225,3010.0,41.0,29.0,Unique,male,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2279728_1_m.jpg
15188,1090.0,27.6,23.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2284410_1_m.jpg
5502,15790.0,24.0,29.9,Unique,male,gallery,other,signed,3.0,11.0,other,images_thesis\2312856_1_m.jpg
15149,1211.0,31.5,27.6,Unique,male,independent,other,signed,0.0,1.0,other,images_thesis\2303458_1_m.jpg
5697,2915.0,10.7,19.1,Unique,unknown,gallery,other,signed,5.0,2.0,France,images_thesis\2243039_1_m.jpg
14948,2271.0,27.6,39.4,Unique,male,gallery,other,signed,0.0,7.0,France,images_thesis\2315370_1_m.jpg
11634,1070.0,18.0,24.0,Unique,male,gallery,oil,signed,1.0,3.0,United States,images_thesis\2308240_1_m.jpg
19266,1151.0,24.0,35.8,Unique,male,gallery,acrylic,signed,6.0,10.0,other,images_thesis\526070_1_m.jpg
2046,2186.0,27.6,19.7,Unique,male,gallery,acrylic,signed,5.0,1.0,Spain,images_thesis\2178794_1_m.jpg
16970,3000.0,27.6,31.5,Unique,male,independent,oil,signed,8.0,4.0,Ukraine,images_thesis\1532622_1_m.jpg
6681,2186.0,39.4,47.2,Unique,unknown,independent,other,signed,1.0,1.0,other,images_thesis\2180695_1_m.jpg
13566,5317.0,41.3,61.0,Unique,male,independent,acrylic,signed,0.0,3.0,other,images_thesis\2333331_1_m.jpg
9173,2247.0,25.2,23.6,Unique,male,gallery,other,signed,2.0,9.0,Spain,images_thesis\2142157_1_m.jpg
13501,4000.0,40.0,30.0,Unique,male,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\1771320_1_m.jpg
8073,1081.0,39.4,31.9,Unique,male,gallery,other,signed,0.0,10.0,France,images_thesis\2311569_1_m.jpg
915,2500.0,19.7,15.7,Unique,unknown,gallery,other,signed,9.0,6.0,other,images_thesis\2150466_1_m.jpg
13657,20589.0,27.6,39.4,Unique,unknown,gallery,acrylic,signed,24.0,3.0,France,images_thesis\1619067_1_m.jpg
18809,12111.0,78.7,118.1,Unique,male,independent,other,signed,6.0,6.0,other,images_thesis\579570_1_m.jpg
11633,3887.0,39.4,39.4,Unique,male,gallery,other,signed,0.0,9.0,France,images_thesis\2309818_1_m.jpg
2903,2800.0,22.3,35.3,Unique,male,gallery,oil,signed,1.0,3.0,other,images_thesis\2278194_1_m.jpg
11202,2915.0,31.5,47.2,Unique,female,independent,other,signed,0.0,3.0,other,images_thesis\2327284_1_m.jpg
14191,957.0,47.2,28.7,Unique,female,independent,other,signed,0.0,4.0,Ukraine,images_thesis\2237573_1_m.jpg
14522,1080.0,12.0,16.0,Unique,male,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2306437_1_m.jpg
14247,1453.0,27.6,35.4,Unique,female,independent,acrylic,signed,4.0,5.0,France,images_thesis\1251558_1_m.jpg
6732,27936.0,39.4,27.6,Unique,male,gallery,oil,signed,50.0,8.0,France,images_thesis\231637_1_m.jpg
6096,16397.0,19.7,15.7,Unique,male,gallery,oil,signed,95.0,6.0,other,images_thesis\731694_1_m.jpg
4948,1200.0,27.6,35.4,Unique,unknown,gallery,other,signed,4.0,1.0,United States,images_thesis\2282265_1_m.jpg
9432,1567.0,51.2,38.2,Unique,male,gallery,other,signed,1.0,10.0,France,images_thesis\2235439_1_m.jpg
8246,2794.0,24.0,19.7,Unique,female,independent,oil,signed,2.0,3.0,France,images_thesis\2004495_1_m.jpg
16695,4481.0,39.4,47.2,Unique,male,independent,other,signed,3.0,6.0,other,images_thesis\1740495_1_m.jpg
9005,91.0,11.8,11.8,Unique,male,independent,other,signed,0.0,7.0,France,images_thesis\2299972_1_m.jpg
18238,2059.0,19.7,15.7,Unique,male,gallery,oil,signed,1.0,9.0,France,images_thesis\2272401_1_m.jpg
8263,700.0,8.0,10.0,Unique,male,gallery,acrylic,signed,5.0,6.0,United States,images_thesis\827412_1_m.jpg
17379,750.0,30.0,22.5,Unique,female,independent,other,signed,2.0,6.0,United States,images_thesis\2078190_1_m.jpg
1076,2429.0,21.7,15.0,Unique,male,gallery,oil,signed,3.0,2.0,France,images_thesis\2322120_1_m.jpg
6917,1749.0,19.7,19.7,Unique,unknown,independent,other,signed,3.0,2.0,France,images_thesis\2283046_1_m.jpg
5127,765.0,31.5,23.6,Unique,unknown,gallery,other,signed,7.0,7.0,France,images_thesis\498038_1_m.jpg
19588,969.0,31.5,23.6,Unique,unknown,independent,other,signed,23.0,3.0,other,images_thesis\1784436_1_m.jpg
15716,1750.0,32.0,32.0,Unique,female,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2308228_1_m.jpg
7983,1640.0,19.7,15.7,Unique,female,independent,oil,signed,2.0,3.0,other,images_thesis\2321420_1_m.jpg
2292,826.0,19.7,26.4,Unique,male,gallery,acrylic,signed,5.0,6.0,other,images_thesis\1052004_1_m.jpg
2897,5000.0,48.0,48.0,Unique,male,gallery,oil,signed,1.0,3.0,United States,images_thesis\2308487_1_m.jpg
19742,1453.0,23.6,19.7,Unique,unknown,gallery,oil,signed,8.0,6.0,other,images_thesis\2322070_1_m.jpg
18140,2180.0,8.7,5.9,Unique,male,gallery,other,not signed,3.0,4.0,Spain,images_thesis\2316127_1_m.jpg
9736,3644.0,39.4,39.4,Unique,female,independent,oil,signed,7.0,3.0,other,images_thesis\2090928_1_m.jpg
20190,2000.0,48.0,48.0,Unique,female,gallery,other,signed,3.0,7.0,United States,images_thesis\1329456_1_m.jpg
4288,9413.0,39.4,39.4,Unique,unknown,gallery,acrylic,signed,9.0,4.0,other,images_thesis\1309128_1_m.jpg
11526,972.0,27.6,23.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2324782_1_m.jpg
19064,2798.0,35.4,51.2,Unique,female,independent,acrylic,signed,4.0,3.0,other,images_thesis\1607370_1_m.jpg
7821,8915.0,39.4,39.4,Unique,female,independent,oil,signed,0.0,3.0,France,images_thesis\2317167_1_m.jpg
5573,1313.0,10.2,14.0,Unique,unknown,gallery,other,signed,71.0,6.0,other,images_thesis\1219422_1_m.jpg
12444,3887.0,39.4,31.5,Unique,female,independent,other,signed,0.0,1.0,France,images_thesis\2323129_1_m.jpg
11534,600.0,19.7,15.7,Unique,male,gallery,acrylic,signed,0.0,2.0,other,images_thesis\2317403_1_m.jpg
16126,2543.0,31.5,39.4,Unique,male,gallery,oil,signed,1.0,5.0,other,images_thesis\2288469_1_m.jpg
8411,972.0,47.2,33.1,Unique,male,gallery,other,signed,7.0,10.0,other,images_thesis\375231_1_m.jpg
17435,5128.0,48.0,30.0,Unique,male,gallery,other,signed,9.0,10.0,United States,images_thesis\1120668_1_m.jpg
9049,1811.0,47.2,39.4,Unique,male,independent,acrylic,signed,2.0,3.0,other,images_thesis\2125041_1_m.jpg
10024,2429.0,59.1,19.7,Unique,unknown,gallery,other,signed,1.0,10.0,France,images_thesis\2253339_1_m.jpg
17245,1272.0,15.7,19.7,Unique,female,independent,acrylic,signed,0.0,3.0,France,images_thesis\2329913_1_m.jpg
15134,1211.0,23.6,27.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2306979_1_m.jpg
2016,850.0,11.8,11.0,Unique,male,gallery,other,signed,1.0,2.0,France,images_thesis\2285262_1_m.jpg
6472,3644.0,45.7,35.0,Unique,male,gallery,oil,signed,3.0,9.0,France,images_thesis\1659690_1_m.jpg
9495,24657.0,28.7,45.7,Unique,female,gallery,oil,signed,5.0,10.0,France,images_thesis\1209369_1_m.jpg
8990,4251.0,57.5,44.9,Unique,male,gallery,oil,signed,3.0,8.0,France,images_thesis\1410711_1_m.jpg
2452,2624.0,15.7,15.7,Unique,female,gallery,acrylic,signed,0.0,8.0,France,images_thesis\2299211_1_m.jpg
4498,5398.0,21.7,17.7,Unique,male,gallery,other,signed,35.0,3.0,Spain,images_thesis\1388829_1_m.jpg
6114,5050.0,23.6,31.5,Unique,unknown,gallery,oil,signed,10.0,3.0,other,images_thesis\2062911_1_m.jpg
2433,2065.0,23.6,27.6,Unique,male,gallery,oil,signed,0.0,6.0,other,images_thesis\2300983_1_m.jpg
17963,3512.0,39.4,38.2,Unique,female,independent,oil,signed,1.0,3.0,France,images_thesis\2190265_1_m.jpg
5152,2186.0,25.6,18.1,Unique,unknown,gallery,oil,signed,27.0,9.0,France,images_thesis\2157395_1_m.jpg
4790,2854.0,23.6,31.5,Unique,unknown,gallery,acrylic,signed,2.0,2.0,other,images_thesis\2142015_1_m.jpg
20604,1078.0,22.0,18.1,Unique,unknown,gallery,other,signed,6.0,3.0,other,images_thesis\2269327_1_m.jpg
5226,22104.0,60.0,60.0,Unique,female,gallery,other,signed,1.0,4.0,other,images_thesis\2284679_1_m.jpg
16115,1600.0,31.5,25.6,Unique,male,gallery,oil,signed,0.0,1.0,Ukraine,images_thesis\2296113_1_m.jpg
7102,729.0,11.5,15.5,Unique,unknown,gallery,acrylic,signed,3.0,4.0,other,images_thesis\1609401_1_m.jpg
10345,729.0,31.5,31.5,Unique,male,gallery,other,signed,1.0,9.0,France,images_thesis\2228978_1_m.jpg
9803,800.0,48.0,30.0,Unique,female,gallery,other,signed,1.0,7.0,United States,images_thesis\2191501_1_m.jpg
8739,1811.0,47.2,39.4,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2258672_1_m.jpg
2870,1700.0,47.2,47.2,Unique,female,gallery,acrylic,signed,54.0,6.0,other,images_thesis\2200460_1_m.jpg
11345,2186.0,59.1,37.4,Unique,female,independent,other,signed,1.0,4.0,Spain,images_thesis\2228752_1_m.jpg
8666,1215.0,31.5,31.5,Unique,male,independent,other,signed,3.0,7.0,France,images_thesis\1596132_1_m.jpg
7659,1456.0,35.4,49.2,Unique,male,independent,acrylic,signed,0.0,5.0,other,images_thesis\2309812_1_m.jpg
5921,5709.0,67.7,48.0,Unique,male,gallery,acrylic,signed,5.0,9.0,France,images_thesis\1022718_1_m.jpg
9682,4737.0,18.1,21.7,Unique,male,gallery,acrylic,signed,7.0,9.0,France,images_thesis\336193_1_m.jpg
137,1700.0,17.7,13.0,Unique,unknown,gallery,other,signed,4.0,5.0,France,images_thesis\1256280_1_m.jpg
8841,3522.0,23.6,23.6,Unique,female,independent,other,signed,1.0,3.0,France,images_thesis\2216097_1_m.jpg
5552,3948.0,59.1,51.2,Unique,female,gallery,acrylic,signed,2.0,2.0,other,images_thesis\2263260_1_m.jpg
15305,727.0,11.8,11.8,Unique,female,gallery,other,signed,2.0,4.0,France,images_thesis\2320604_1_m.jpg
6500,1579.0,35.0,45.7,Unique,female,independent,other,signed,15.0,1.0,other,images_thesis\2161582_1_m.jpg
5716,5709.0,31.9,39.4,Unique,male,gallery,oil,signed,39.0,5.0,France,images_thesis\1132917_1_m.jpg
1214,2369.0,11.8,11.8,Unique,unknown,gallery,acrylic,signed,5.0,4.0,other,images_thesis\1488339_1_m.jpg
13612,3258.0,41.3,61.0,Unique,male,independent,acrylic,signed,0.0,3.0,other,images_thesis\2290125_1_m.jpg
16411,1800.0,31.5,26.0,Unique,unknown,gallery,other,signed,0.0,4.0,France,images_thesis\2312392_1_m.jpg
4963,1980.0,31.5,31.5,Unique,male,gallery,other,signed,2.0,2.0,other,images_thesis\2190089_1_m.jpg
8975,1822.0,23.6,19.7,Unique,female,independent,oil,signed,6.0,3.0,other,images_thesis\2145839_1_m.jpg
14813,612.0,31.5,23.6,Unique,male,gallery,oil,signed,7.0,1.0,Ukraine,images_thesis\2260983_1_m.jpg
3024,972.0,27.6,27.6,Unique,female,gallery,acrylic,signed,1.0,4.0,Spain,images_thesis\2265317_1_m.jpg
6360,437.0,23.6,28.7,Unique,male,gallery,oil,signed,65.0,3.0,France,images_thesis\2075766_1_m.jpg
16881,1817.0,39.4,27.6,Unique,male,gallery,other,signed,1.0,7.0,other,images_thesis\2261876_1_m.jpg
17312,10800.0,59.1,47.2,Unique,male,gallery,oil,signed,1.0,3.0,other,images_thesis\2293863_1_m.jpg
16032,2180.0,31.5,23.6,Unique,male,independent,acrylic,signed,3.0,5.0,other,images_thesis\1558983_1_m.jpg
5811,2782.0,48.0,36.0,Unique,male,gallery,other,signed,1.0,4.0,other,images_thesis\2294146_1_m.jpg
5323,790.0,19.7,19.7,Unique,unknown,independent,other,signed,2.0,2.0,France,images_thesis\1963311_1_m.jpg
363,838.0,25.6,19.7,Unique,male,gallery,other,signed,34.0,10.0,France,images_thesis\47174_1_m.jpg
6524,4263.0,51.2,38.2,Unique,female,gallery,oil,signed,36.0,12.0,France,images_thesis\168364_1_m.jpg
12286,2000.0,47.2,78.7,Unique,female,gallery,acrylic,signed,0.0,1.0,Ukraine,images_thesis\2315487_1_m.jpg
2585,1822.0,31.5,23.6,Unique,female,gallery,acrylic,signed,2.0,10.0,France,images_thesis\2287654_1_m.jpg
20153,969.0,39.4,39.4,Unique,unknown,gallery,other,signed,1.0,9.0,France,images_thesis\2229382_1_m.jpg
12982,763.0,27.6,27.6,Unique,unknown,gallery,other,signed,2.0,1.0,Ukraine,images_thesis\2281111_1_m.jpg
6705,2915.0,31.5,23.6,Unique,unknown,gallery,other,signed,5.0,9.0,France,images_thesis\1920927_1_m.jpg
14124,848.0,35.4,35.4,Unique,female,gallery,oil,signed,0.0,3.0,other,images_thesis\2321296_1_m.jpg
8334,1822.0,31.5,31.5,Unique,male,gallery,oil,signed,12.0,8.0,France,images_thesis\833172_1_m.jpg
16566,521.0,13.8,13.8,Unique,unknown,independent,other,signed,0.0,4.0,other,images_thesis\2329332_1_m.jpg
831,626.0,33.1,23.6,Unique,unknown,gallery,other,signed,5.0,1.0,Ukraine,images_thesis\2274890_1_m.jpg
10962,900.0,13.8,17.7,Unique,male,gallery,oil,signed,3.0,1.0,Ukraine,images_thesis\2212767_1_m.jpg
7583,3401.0,39.4,39.4,Unique,male,gallery,other,signed,0.0,9.0,France,images_thesis\2299912_1_m.jpg
11684,1822.0,33.9,53.9,Unique,male,gallery,acrylic,signed,2.0,10.0,other,images_thesis\2173856_1_m.jpg
17003,593.0,23.6,23.6,Unique,female,independent,acrylic,signed,4.0,5.0,other,images_thesis\982617_1_m.jpg
13086,969.0,26.6,26.6,Unique,unknown,gallery,acrylic,signed,5.0,2.0,other,images_thesis\2186541_1_m.jpg
18757,2664.0,31.5,31.5,Unique,female,gallery,other,signed,3.0,10.0,France,images_thesis\1611489_1_m.jpg
959,1093.0,27.6,39.4,Unique,unknown,gallery,other,signed,1.0,1.0,France,images_thesis\2222038_1_m.jpg
11314,6802.0,39.4,39.4,Unique,male,independent,oil,signed,1.0,5.0,other,images_thesis\2326757_1_m.jpg
17795,1417.0,31.5,31.5,Unique,female,gallery,oil,signed,0.0,8.0,France,images_thesis\2333347_1_m.jpg
15155,1090.0,31.5,27.6,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2299642_1_m.jpg
5624,13604.0,51.2,31.5,Unique,male,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2252376_1_m.jpg
2373,729.0,23.6,16.9,Unique,female,gallery,acrylic,signed,2.0,1.0,France,images_thesis\2162410_1_m.jpg
9829,22641.0,82.7,196.9,Unique,male,gallery,other,signed,2.0,2.0,other,images_thesis\2005590_1_m.jpg
9028,2647.0,39.4,59.1,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2204310_1_m.jpg
3699,2551.0,23.6,31.5,Unique,unknown,gallery,oil,signed,0.0,6.0,other,images_thesis\2309522_1_m.jpg
15569,824.0,28.7,21.3,Unique,female,gallery,other,signed,0.0,8.0,France,images_thesis\2291902_1_m.jpg
12857,1350.0,12.0,10.0,Unique,unknown,gallery,other,signed,1.0,3.0,other,images_thesis\2318044_1_m.jpg
1278,1421.0,17.7,12.6,Unique,female,gallery,oil,signed,1.0,5.0,other,images_thesis\2274292_1_m.jpg
9438,8915.0,39.4,39.4,Unique,female,independent,other,signed,1.0,3.0,France,images_thesis\2171148_1_m.jpg
11134,1093.0,15.7,11.8,Unique,male,independent,other,signed,0.0,5.0,other,images_thesis\2322293_1_m.jpg
13261,1300.0,21.7,25.6,Unique,male,gallery,oil,signed,1.0,1.0,Ukraine,images_thesis\2283539_1_m.jpg
12103,700.0,19.7,23.6,Unique,female,gallery,acrylic,signed,1.0,1.0,other,images_thesis\2291681_1_m.jpg
5487,1300.0,16.0,20.0,Unique,female,gallery,oil,signed,9.0,3.0,United States,images_thesis\2185241_1_m.jpg
10597,850.0,31.5,31.5,Unique,male,gallery,other,signed,2.0,10.0,France,images_thesis\2232438_1_m.jpg
3119,2611.0,24.0,24.4,Unique,unknown,gallery,acrylic,signed,1.0,4.0,Spain,images_thesis\2297808_1_m.jpg
20897,9689.0,78.7,78.7,Unique,female,independent,other,signed,2.0,3.0,France,images_thesis\2137806_1_m.jpg
6115,6680.0,82.3,52.0,Unique,unknown,gallery,oil,signed,14.0,9.0,France,images_thesis\1756134_1_m.jpg
11734,668.0,19.7,19.7,Unique,male,gallery,acrylic,signed,3.0,9.0,Spain,images_thesis\1536798_1_m.jpg
5176,2915.0,39.4,31.5,Unique,unknown,independent,other,signed,1.0,1.0,France,images_thesis\2265619_1_m.jpg
6723,2672.0,24.0,48.0,Unique,male,independent,other,signed,4.0,3.0,other,images_thesis\1730502_1_m.jpg
20817,4844.0,28.7,23.6,Unique,female,gallery,oil,signed,3.0,9.0,France,images_thesis\2287100_1_m.jpg
11580,5223.0,63.0,31.5,Unique,male,gallery,oil,signed,2.0,9.0,France,images_thesis\2145556_1_m.jpg
11309,3522.0,48.0,48.0,Unique,female,independent,other,signed,4.0,6.0,other,images_thesis\991086_1_m.jpg
2638,2308.0,23.6,31.5,Unique,female,gallery,acrylic,signed,4.0,10.0,other,images_thesis\993369_1_m.jpg
16466,10294.0,36.0,36.0,Unique,unknown,gallery,other,signed,14.0,11.0,other,images_thesis\2233682_1_m.jpg
236,1950.0,26.0,40.0,Unique,female,independent,other,signed,1.0,6.0,United States,images_thesis\2259839_1_m.jpg
5549,4312.0,45.7,31.9,Unique,female,gallery,other,signed,5.0,11.0,France,images_thesis\2282398_1_m.jpg
18831,35727.0,70.9,55.1,Unique,unknown,gallery,other,signed,0.0,10.0,France,images_thesis\2327701_1_m.jpg
6307,8502.0,11.8,23.6,Unique,unknown,gallery,oil,signed,2.0,3.0,Spain,images_thesis\2192793_1_m.jpg
5604,2915.0,19.7,19.7,Unique,unknown,gallery,other,signed,7.0,7.0,France,images_thesis\1941669_1_m.jpg
18778,3960.0,47.2,55.1,Unique,female,independent,other,signed,4.0,6.0,other,images_thesis\1189263_1_m.jpg
11761,1518.0,18.1,21.7,Unique,male,gallery,oil,signed,7.0,9.0,France,images_thesis\452250_1_m.jpg
17467,1635.0,28.7,36.2,Unique,female,gallery,oil,signed,7.0,10.0,France,images_thesis\443475_1_m.jpg
5846,1822.0,16.1,13.0,Unique,male,gallery,oil,signed,55.0,6.0,other,images_thesis\1482348_1_m.jpg
1949,607.0,12.8,12.8,Unique,male,gallery,acrylic,signed,1.0,10.0,France,images_thesis\2229636_1_m.jpg
12489,1069.0,39.4,39.4,Unique,male,gallery,oil,signed,1.0,10.0,France,images_thesis\2297049_1_m.jpg
7755,3279.0,39.4,59.1,Unique,female,gallery,acrylic,signed,5.0,5.0,other,images_thesis\856704_1_m.jpg
3800,2551.0,35.4,43.3,Unique,female,gallery,oil,signed,2.0,2.0,other,images_thesis\2142714_1_m.jpg
17888,763.0,23.6,33.1,Unique,unknown,gallery,other,signed,5.0,1.0,Ukraine,images_thesis\2275813_1_m.jpg
10421,1328.0,27.6,19.7,Unique,female,independent,other,signed,1.0,5.0,France,images_thesis\1259871_1_m.jpg
243,3644.0,32.9,23.2,Unique,male,independent,other,signed,0.0,5.0,France,images_thesis\2332850_1_m.jpg
13113,1453.0,22.0,46.5,Unique,unknown,gallery,other,signed,0.0,4.0,France,images_thesis\2322920_1_m.jpg
4735,2750.0,24.0,18.0,Unique,unknown,gallery,other,signed,2.0,3.0,other,images_thesis\2205738_1_m.jpg
746,4196.0,10.6,16.1,Unique,male,gallery,oil,signed,11.0,9.0,other,images_thesis\52155_1_m.jpg
8084,2098.0,39.4,39.4,Unique,male,independent,other,signed,0.0,3.0,other,images_thesis\2328539_1_m.jpg
5660,2186.0,25.6,16.1,Unique,male,gallery,oil,signed,1.0,4.0,Spain,images_thesis\2266239_1_m.jpg
6751,1943.0,31.5,31.5,Unique,female,gallery,other,signed,8.0,3.0,France,images_thesis\1328064_1_m.jpg
12654,666.0,27.2,19.5,Unique,male,gallery,other,signed,4.0,2.0,other,images_thesis\2254622_1_m.jpg
6435,6802.0,39.4,27.6,Unique,male,gallery,other,signed,1.0,4.0,Spain,images_thesis\2265244_1_m.jpg
2457,4250.0,48.0,36.0,Unique,unknown,gallery,other,signed,2.0,3.0,other,images_thesis\2212315_1_m.jpg
5311,2369.0,21.7,15.7,Unique,male,gallery,other,signed,2.0,4.0,Spain,images_thesis\2215640_1_m.jpg
1786,600.0,35.4,35.4,Unique,female,gallery,acrylic,signed,3.0,1.0,United States,images_thesis\2292925_1_m.jpg
13526,2180.0,31.5,23.6,Unique,male,gallery,oil,signed,5.0,6.0,other,images_thesis\1294677_1_m.jpg
5188,1032.0,13.0,21.7,Unique,male,gallery,acrylic,signed,15.0,1.0,Spain,images_thesis\2190345_1_m.jpg
12389,1943.0,36.6,36.6,Unique,unknown,independent,acrylic,signed,0.0,4.0,France,images_thesis\2299330_1_m.jpg
