,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
13895,1199.0,23.6,23.6,Unique,female,independent,oil,signed,0.0,7.0,France,images_thesis\2313731_1_m.jpg
8196,1312.0,15.7,15.7,Unique,female,gallery,oil,signed,3.0,2.0,other,images_thesis\2274073_1_m.jpg
14713,2630.0,20.0,40.0,Unique,female,gallery,acrylic,signed,2.0,3.0,United States,images_thesis\2306512_1_m.jpg
16571,2079.0,23.6,19.7,Unique,male,gallery,other,signed,0.0,10.0,other,images_thesis\2325599_1_m.jpg
16520,3000.0,48.0,36.0,Unique,female,independent,acrylic,signed,4.0,6.0,United States,images_thesis\1122993_1_m.jpg
4434,3948.0,23.6,31.5,Unique,female,gallery,oil,signed,5.0,4.0,Spain,images_thesis\2327944_1_m.jpg
12432,600.0,23.6,23.6,Unique,female,gallery,oil,signed,0.0,2.0,other,images_thesis\2328636_1_m.jpg
10095,729.0,31.5,31.5,Unique,male,gallery,other,signed,3.0,9.0,France,images_thesis\1753611_1_m.jpg
19901,2422.0,24.0,36.2,Unique,male,gallery,other,signed,0.0,9.0,France,images_thesis\2313770_1_m.jpg
20465,970.0,16.0,12.0,Unique,male,gallery,acrylic,signed,13.0,10.0,United States,images_thesis\1998435_1_m.jpg
17787,2786.0,23.6,23.6,Unique,unknown,gallery,acrylic,signed,5.0,9.0,France,images_thesis\763983_1_m.jpg
4557,3400.0,48.0,48.0,Unique,female,gallery,acrylic,signed,25.0,4.0,other,images_thesis\2152272_1_m.jpg
14669,2000.0,36.0,48.0,Unique,male,independent,acrylic,signed,15.0,6.0,United States,images_thesis\587067_1_m.jpg
1502,1458.0,8.0,12.0,Unique,female,gallery,acrylic,signed,4.0,4.0,United States,images_thesis\1293027_1_m.jpg
14090,1663.0,39.4,39.4,Unique,female,gallery,other,signed,0.0,10.0,other,images_thesis\2332602_1_m.jpg
9509,3158.0,47.2,39.4,Unique,female,gallery,other,signed,1.0,3.0,other,images_thesis\2260013_1_m.jpg
1520,1458.0,8.0,12.0,Unique,male,gallery,other,signed,4.0,4.0,United States,images_thesis\1266855_1_m.jpg
15974,194.0,11.4,11.4,Unique,male,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2245558_1_m.jpg
20735,727.0,23.6,17.7,Unique,male,gallery,acrylic,signed,5.0,10.0,other,images_thesis\1432842_1_m.jpg
13909,6540.0,39.4,39.4,Unique,male,gallery,oil,signed,1.0,9.0,Spain,images_thesis\2299890_1_m.jpg
16327,969.0,20.1,28.7,Unique,unknown,gallery,other,signed,1.0,7.0,France,images_thesis\2270882_1_m.jpg
3379,1579.0,17.8,17.8,Unique,male,gallery,oil,signed,0.0,3.0,other,images_thesis\2325268_1_m.jpg
5821,1287.0,15.0,21.7,Unique,male,gallery,oil,signed,100.0,6.0,other,images_thesis\2247238_1_m.jpg
10589,1410.0,19.7,27.6,Unique,female,independent,other,signed,1.0,5.0,other,images_thesis\2284892_1_m.jpg
47,972.0,11.8,15.7,Unique,unknown,gallery,oil,not signed,3.0,3.0,Ukraine,images_thesis\1785654_1_m.jpg
13638,606.0,23.6,28.7,Unique,male,gallery,acrylic,signed,1.0,10.0,France,images_thesis\2232074_1_m.jpg
10096,729.0,31.5,31.5,Unique,male,gallery,other,signed,3.0,9.0,France,images_thesis\1753584_1_m.jpg
1324,1943.0,28.7,23.6,Unique,male,gallery,acrylic,signed,2.0,9.0,France,images_thesis\2255850_1_m.jpg
12967,170.0,16.5,11.8,Unique,male,gallery,acrylic,signed,1.0,8.0,other,images_thesis\2296482_1_m.jpg
5492,1050.0,11.0,15.0,Unique,unknown,gallery,other,signed,80.0,6.0,other,images_thesis\1603758_1_m.jpg
2958,1458.0,24.0,16.5,Copy,female,gallery,oil,signed,1.0,9.0,France,images_thesis\2287104_1_m.jpg
5545,383.0,5.5,5.5,Unique,female,gallery,other,not signed,0.0,7.0,France,images_thesis\2329727_1_m.jpg
17563,436.0,12.9,19.9,Unique,male,gallery,oil,signed,2.0,1.0,Ukraine,images_thesis\2299996_1_m.jpg
12376,7895.0,39.4,47.2,Unique,male,independent,other,signed,0.0,5.0,other,images_thesis\2317743_1_m.jpg
8730,2647.0,39.4,59.1,Unique,male,independent,acrylic,signed,1.0,3.0,other,images_thesis\2274017_1_m.jpg
18994,2301.0,31.5,31.5,Unique,female,gallery,other,signed,6.0,1.0,France,images_thesis\2247195_1_m.jpg
12835,848.0,15.7,15.7,Unique,unknown,gallery,other,signed,4.0,3.0,other,images_thesis\2181406_1_m.jpg
4455,2186.0,31.5,23.6,Unique,unknown,gallery,other,signed,10.0,11.0,France,images_thesis\1968558_1_m.jpg
5736,1444.0,15.0,18.1,Unique,male,gallery,oil,signed,73.0,6.0,other,images_thesis\2249240_1_m.jpg
7435,389.0,33.5,24.4,Unique,female,independent,oil,signed,3.0,3.0,France,images_thesis\1673742_1_m.jpg
18976,757.0,19.7,19.7,Unique,unknown,gallery,acrylic,signed,1.0,7.0,France,images_thesis\2266591_1_m.jpg
6856,644.0,11.8,11.8,Unique,unknown,gallery,other,signed,6.0,7.0,France,images_thesis\622740_1_m.jpg
14444,950.0,50.8,31.5,Unique,female,gallery,acrylic,signed,1.0,1.0,other,images_thesis\2332854_1_m.jpg
18325,6055.0,33.5,33.5,Unique,unknown,gallery,other,signed,5.0,11.0,France,images_thesis\1517556_1_m.jpg
3487,850.0,7.9,5.9,Unique,male,gallery,other,signed,2.0,10.0,other,images_thesis\1952322_1_m.jpg
165,4500.0,39.4,70.9,Unique,unknown,gallery,other,signed,3.0,2.0,other,images_thesis\2327197_1_m.jpg
8445,2672.0,39.4,31.5,Unique,female,gallery,other,signed,1.0,5.0,other,images_thesis\2254263_1_m.jpg
14137,1400.0,31.0,39.0,Unique,female,gallery,oil,signed,1.0,3.0,other,images_thesis\2308454_1_m.jpg
3834,2551.0,15.7,15.7,Unique,unknown,gallery,other,signed,1.0,4.0,Spain,images_thesis\2288942_1_m.jpg
15201,896.0,35.4,39.4,Unique,unknown,gallery,oil,signed,5.0,1.0,Ukraine,images_thesis\2280447_1_m.jpg
2037,668.0,13.0,18.1,Unique,male,gallery,other,signed,4.0,9.0,France,images_thesis\2309434_1_m.jpg
14732,908.0,19.7,27.6,Unique,unknown,gallery,oil,signed,1.0,7.0,France,images_thesis\2299525_1_m.jpg
12751,1700.0,65.7,16.9,Unique,female,gallery,other,signed,0.0,11.0,France,images_thesis\2317547_1_m.jpg
934,5648.0,39.4,39.4,Unique,female,gallery,other,signed,1.0,5.0,other,images_thesis\2300594_1_m.jpg
10887,1895.0,23.6,47.2,Unique,female,independent,acrylic,signed,1.0,3.0,other,images_thesis\2266118_1_m.jpg
5512,4737.0,31.9,23.6,Unique,female,gallery,oil,signed,1.0,9.0,Spain,images_thesis\2228247_1_m.jpg
4653,4130.0,38.6,29.5,Unique,female,gallery,acrylic,not signed,6.0,9.0,France,images_thesis\2318419_1_m.jpg
20903,1151.0,14.2,14.2,Unique,male,gallery,oil,signed,0.0,6.0,other,images_thesis\2309415_1_m.jpg
2318,3304.0,31.5,47.2,Unique,male,gallery,acrylic,signed,4.0,6.0,France,images_thesis\1274007_1_m.jpg
14511,540.0,14.0,18.0,Unique,male,gallery,oil,signed,1.0,3.0,United States,images_thesis\2308243_1_m.jpg
12125,607.0,19.7,16.1,Unique,male,gallery,oil,signed,4.0,3.0,other,images_thesis\2328889_1_m.jpg
12192,850.0,20.0,26.0,Unique,female,gallery,oil,signed,1.0,3.0,United States,images_thesis\2306178_1_m.jpg
5398,3644.0,31.5,31.5,Unique,female,gallery,other,signed,2.0,2.0,other,images_thesis\2144679_1_m.jpg
6669,3077.0,17.7,25.6,Unique,female,independent,oil,signed,1.0,4.0,other,images_thesis\2244769_1_m.jpg
14323,17561.0,59.1,59.1,Unique,unknown,gallery,acrylic,signed,0.0,9.0,France,images_thesis\2286428_1_m.jpg
3248,1893.0,24.0,31.9,Unique,female,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2279672_1_m.jpg
14108,2664.0,35.4,47.2,Unique,female,gallery,acrylic,signed,0.0,9.0,Spain,images_thesis\2328122_1_m.jpg
3198,2417.0,36.2,28.7,Unique,unknown,gallery,other,signed,3.0,8.0,France,images_thesis\2310644_1_m.jpg
11585,950.0,12.0,9.0,Unique,male,gallery,other,signed,2.0,6.0,United States,images_thesis\1938867_1_m.jpg
18756,2220.0,41.3,37.4,Unique,unknown,independent,acrylic,signed,3.0,3.0,other,images_thesis\1612986_1_m.jpg
14359,2907.0,38.2,37.4,Unique,female,independent,acrylic,signed,1.0,3.0,France,images_thesis\2200796_1_m.jpg
291,2915.0,39.4,25.6,Unique,female,gallery,acrylic,signed,7.0,9.0,France,images_thesis\488995_1_m.jpg
360,790.0,24.0,19.7,Unique,male,gallery,other,signed,5.0,10.0,France,images_thesis\1473579_1_m.jpg
10771,1032.0,18.1,21.7,Unique,male,gallery,other,signed,15.0,10.0,France,images_thesis\2228922_1_m.jpg
1235,1032.0,19.7,25.2,Unique,female,independent,oil,signed,3.0,6.0,France,images_thesis\1318938_1_m.jpg
13941,969.0,55.1,70.9,Unique,unknown,independent,acrylic,signed,1.0,1.0,France,images_thesis\2288071_1_m.jpg
76,2915.0,25.2,21.3,Unique,unknown,gallery,other,signed,1.0,12.0,other,images_thesis\2204550_1_m.jpg
12900,727.0,23.6,23.6,Unique,female,gallery,acrylic,signed,0.0,3.0,Ukraine,images_thesis\2285413_1_m.jpg
2093,729.0,11.8,11.8,Unique,unknown,gallery,other,signed,3.0,2.0,other,images_thesis\2135946_1_m.jpg
16374,3028.0,25.6,36.2,Unique,male,gallery,oil,signed,11.0,10.0,France,images_thesis\1801209_1_m.jpg
