price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
1275.0,31.5,21.7,Unique,unknown,gallery,other,signed,13.0,4.0,other,images_thesis\1374498_1_m.jpg
3705.0,27.6,39.4,Unique,female,gallery,other,signed,3.0,4.0,Spain,images_thesis\2221556_1_m.jpg
2186.0,27.6,27.6,Unique,female,gallery,other,signed,3.0,8.0,France,images_thesis\2139463_1_m.jpg
600.0,12.0,9.0,Unique,male,gallery,other,signed,6.0,6.0,United States,images_thesis\829428_1_m.jpg
4723.0,47.2,47.2,Unique,male,gallery,oil,signed,1.0,3.0,Ukraine,images_thesis\2263777_1_m.jpg
711.0,31.5,39.4,Unique,female,independent,acrylic,signed,0.0,4.0,Spain,images_thesis\2287324_1_m.jpg
357.0,7.5,11.7,Unique,male,gallery,oil,signed,1.0,1.0,Ukraine,images_thesis\2297633_1_m.jpg
4350.0,31.5,23.6,Unique,male,gallery,acrylic,signed,30.0,4.0,other,images_thesis\2310385_1_m.jpg
668.0,7.9,7.9,Unique,male,gallery,acrylic,signed,7.0,8.0,France,images_thesis\458986_1_m.jpg
1574.0,19.7,15.7,Unique,unknown,gallery,other,signed,9.0,11.0,France,images_thesis\810495_1_m.jpg
3028.0,47.2,23.6,Unique,unknown,gallery,oil,not signed,1.0,3.0,Ukraine,images_thesis\2182249_1_m.jpg
3391.0,47.2,31.5,Unique,female,gallery,acrylic,signed,0.0,9.0,Spain,images_thesis\2328127_1_m.jpg
972.0,11.8,23.6,Unique,male,gallery,oil,signed,15.0,6.0,other,images_thesis\700008_1_m.jpg
3270.0,39.4,39.4,Unique,unknown,gallery,acrylic,signed,2.0,8.0,other,images_thesis\2196909_1_m.jpg
2422.0,39.4,27.6,Unique,male,gallery,acrylic,signed,1.0,12.0,France,images_thesis\2295257_1_m.jpg
484.0,15.7,19.7,Unique,male,independent,other,signed,3.0,4.0,other,images_thesis\2313873_1_m.jpg
1313.0,21.7,18.1,Unique,unknown,gallery,oil,signed,74.0,6.0,other,images_thesis\2218115_1_m.jpg
850.0,25.6,39.4,Unique,unknown,gallery,other,signed,4.0,9.0,France,images_thesis\1900818_1_m.jpg
2915.0,27.6,23.6,Unique,male,gallery,other,signed,17.0,2.0,other,images_thesis\2263854_1_m.jpg
91.0,7.9,7.9,Unique,male,independent,other,signed,1.0,7.0,France,images_thesis\2317386_1_m.jpg
850.0,31.5,31.5,Unique,male,gallery,acrylic,signed,21.0,9.0,France,images_thesis\210442_1_m.jpg
668.0,21.3,28.7,Unique,male,independent,other,signed,3.0,7.0,France,images_thesis\1791381_1_m.jpg
790.0,35.4,23.6,Unique,male,gallery,other,signed,1.0,10.0,France,images_thesis\2289864_1_m.jpg
460.0,11.8,11.8,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2204640_1_m.jpg
1275.0,24.4,27.6,Unique,male,gallery,oil,signed,12.0,5.0,other,images_thesis\1885764_1_m.jpg
850.0,31.5,31.5,Unique,female,gallery,other,signed,8.0,9.0,France,images_thesis\606045_1_m.jpg
1215.0,22.8,30.7,Unique,female,gallery,other,signed,1.0,10.0,other,images_thesis\2176866_1_m.jpg
1930.0,18.9,22.8,Unique,unknown,gallery,oil,signed,51.0,6.0,other,images_thesis\2278713_1_m.jpg
