,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path,url
20863,2500.0,39.4,27.6,Unique,female,gallery,acrylic,signed,2.0,1.0,United States,images_thesis\2251340_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2251340/fragility-in-bloom-a-minimalist-floral-artwork
20864,5813.0,59.1,59.1,Unique,male,gallery,other,signed,1.0,1.0,other,images_thesis\2250622_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2250622/reciprocal
20865,2180.0,31.5,31.5,Unique,male,gallery,oil,signed,3.0,9.0,France,images_thesis\2244111_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2244111/place-des-victoires
20866,5813.0,59.1,59.1,Unique,male,gallery,other,signed,1.0,1.0,other,images_thesis\2242589_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2242589/tethered
20867,790.0,24.0,28.0,Unique,female,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\2239247_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239247/deep-pool
20868,680.0,27.0,27.0,Unique,female,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\2239230_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239230/amaze-xx
20869,680.0,27.0,27.0,Unique,female,gallery,acrylic,signed,4.0,3.0,United States,images_thesis\2239229_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239229/amaze-xxi
20870,679.0,19.8,19.8,Unique,male,gallery,other,signed,5.0,3.0,France,images_thesis\2239140_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239140/abstract-painting-2038
20871,579.0,19.7,19.7,Unique,male,gallery,acrylic,signed,4.0,3.0,France,images_thesis\2239133_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239133/painting-2152
20872,579.0,19.7,19.7,Unique,male,gallery,acrylic,signed,4.0,3.0,France,images_thesis\2239132_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239132/painting-2151
20873,579.0,19.7,19.7,Unique,male,gallery,acrylic,signed,4.0,3.0,France,images_thesis\2239131_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239131/painting-2153
20874,590.0,19.7,19.7,Unique,male,gallery,other,signed,4.0,3.0,France,images_thesis\2239128_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239128/painting-2192
20875,571.0,19.7,19.7,Unique,male,gallery,other,signed,4.0,3.0,France,images_thesis\2239121_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2239121/painting-21125
20876,654.0,15.0,21.7,Unique,unknown,independent,oil,signed,1.0,4.0,France,images_thesis\2232577_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2232577/n-1254-jerusalem-mea-shearim
20877,1151.0,15.7,39.4,Unique,female,gallery,other,signed,1.0,3.0,other,images_thesis\2232449_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2232449/blossoming-metamorphosis-i
20878,969.0,7.5,10.2,Unique,male,gallery,other,signed,1.0,9.0,Spain,images_thesis\2228612_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2228612/serie-sensaciones-1
20879,908.0,12.0,16.0,Unique,unknown,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2227923_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227923/north-texas-green
20880,908.0,12.0,16.0,Unique,unknown,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2227909_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227909/dandelion
20881,908.0,12.0,16.0,Unique,unknown,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2227908_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227908/falu-red
20882,908.0,12.0,16.0,Unique,unknown,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2227906_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227906/chinese-persimmon
20883,908.0,12.0,16.0,Unique,unknown,gallery,acrylic,signed,3.0,4.0,Spain,images_thesis\2227900_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227900/harlequinn-green
20884,791.0,22.0,34.0,Unique,unknown,gallery,other,signed,5.0,3.0,other,images_thesis\2227385_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227385/delerious
20885,796.0,34.0,22.0,Unique,unknown,gallery,other,signed,5.0,3.0,other,images_thesis\2227384_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2227384/vibrating-spheres
20886,1453.0,12.6,8.7,Unique,unknown,gallery,other,signed,1.0,9.0,France,images_thesis\2218257_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2218257/the-black-tavern
20887,5450.0,59.1,39.4,Unique,male,gallery,other,signed,1.0,9.0,France,images_thesis\2217828_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2217828/urban-flowers
20888,969.0,25.6,19.7,Unique,female,gallery,acrylic,signed,1.0,3.0,France,images_thesis\2215351_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2215351/the-simple-things-in-life
20889,3754.0,74.0,37.4,Unique,male,gallery,oil,signed,1.0,4.0,France,images_thesis\2209280_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2209280/fleurs-ressuscitees
20890,460.0,11.8,11.8,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2206628_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2206628/promenade-au-bord-de-leau
20891,460.0,11.8,11.8,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2204640_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2204640/depaysement
20892,1600.0,19.7,27.6,Unique,male,gallery,oil,signed,1.0,2.0,other,images_thesis\2203791_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2203791/the-heart-of-the-countryside
20893,6903.0,41.3,78.7,Unique,female,independent,acrylic,signed,1.0,3.0,France,images_thesis\2200792_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2200792/smile-jamaica
20894,2500.0,39.4,31.5,Unique,male,gallery,oil,signed,3.0,2.0,other,images_thesis\2195785_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2195785/afternoon-repose
20895,1600.0,15.7,19.7,Unique,male,gallery,oil,signed,3.0,2.0,other,images_thesis\2194900_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2194900/sunlit-seclusion
20896,1600.0,21.7,25.6,Unique,male,gallery,oil,signed,3.0,2.0,other,images_thesis\2194817_1_m.jpg,https://www.artsper.com/us/contemporary-artworks/painting/2194817/autumn-in-the-valley
